vclaim_id	vclaim	title
vclaim-sno-1-mcdonald39s-any-size-fries	McDonald’s restaurants are offering $1 Any Size Fries between May 18 and 31.	$1 McDonald's Any Size Fries
vclaim-sno-10-meter-anaconda	A viral video shows a 10-meter-long anaconda swimming across a river in Brazil.	Does Video Show a 10-Meter-Long Anaconda?
vclaim-sno-10-month-old-baby-drawing	A video shows a 10-month-old baby drawing cartoons.	Is This Really a Video of a 10-Month-Old Baby Drawing?
vclaim-sno-100-facebook-shares-appeal	100 Facebook “shares” will secure a heart transplant for a child.	100 Facebook Shares Heart Transplant
vclaim-sno-100-target-coupon	A $100 Target coupon circulated via Facebook is real.	$100 Target Coupon on Facebook
vclaim-sno-10000-camels-culled-australia	In January 2020, officials in the state of South Australia announced a plan to cull around 10,000 feral camels in response to concerns over public safety and environmental resources.	Were 10,000 Camels Scheduled to Be Killed in Australia Amid Water Shortages?
vclaim-sno-100k-for-600-stimulus-checks	"During the time spent ""arguing whether or not we deserved $600"" for COVID-19 relief, members of U.S. Congress earned at least $100,000."	Did Members of Congress Each Make $100K While Debating $600 Stimulus Checks?
vclaim-sno-101-year-old-mom-gives-birth	A 101-year-old Italian woman gave birth after an ovarian transplant.	Did a 101-Year-Old Woman Give Birth After an Ovarian Transplant?
vclaim-sno-102-lb-shrimp	A photograph captures a 102-lb. shrimp caught near Homosassa, Florida.	Is This a Picture of a Fisherman and a 102-Pound Shrimp?
vclaim-sno-106-dead-in-california-music-festival-bombing	106 people were killed at an ISIS-related California music festival bombing.	106 Dead In California Music Festival Bombing
vclaim-sno-10cc	The band 10cc was so named because the term represents the amount of semen in an average male ejaculation (or a little bit more).	How 10cc Got Their Name
vclaim-sno-11-marines-this-week	"A long-circulated message offers prayers on behalf of eleven U.S. Marines ""that gave their lives this week."""	Did Eleven U.S. Marines Give Their Lives This Week?
vclaim-sno-11-states-ban-ecigs-in-cars	Eleven states have banned the use of electronic cigarettes inside cars.	11 States Ban the Use of Electronic Cigarettes in Vehicles?
vclaim-sno-110-pound-squirrel	A photograph shows a 110-pound squirrel shot by a hunter in North Texas.	Does This Photograph Show a 110-Pound Squirrel?
vclaim-sno-110-yard-field-goal	Video clip captures NFL kicker Shaun Suisham booting a 110-yard practice field goal.	110-Yard Field Goal
vclaim-sno-12-churches-france	In early 2019, vandals targeted 12 churches in France over seven days.	Did Vandals Attack 12 Churches in France in One Week?
vclaim-sno-12-week-photo	A photograph shows a 12-week-old fetus.	Is This a Photograph of a 12-Week Fetus?
vclaim-sno-12th-amendment-path-to-victory	U.S. President Donald Trump has a clear path to victory through the 12th Amendment because there is evidence of massive and coordinated voter fraud in key swing states.	Does Trump Have a 12th Amendment ‘Path to Victory’?
vclaim-sno-14-year-old-pregnant-flu-shot	A teenage schoolgirl in Texas became pregnant through a flu vaccination.	Did a 14-Year Old Virgin Fall Pregnant After a Flu Shot?
